latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-18.75826,36.20884,321.75,1.12,1.05,2025-10-24,1236,A,49,6.1NRT,299.46,15.58,D
-19.07909,33.77074,323.59,1.57,1.23,2025-10-24,1236,A,73,6.1NRT,302.59,20.5,D
-18.74899,36.20743,339.19,1.12,1.05,2025-10-24,1236,A,84,6.1NRT,300.68,41.25,D
-18.73971,36.20603,326.58,1.12,1.05,2025-10-24,1236,A,78,6.1NRT,298.98,21.29,D
-18.74112,36.19571,324.73,1.12,1.05,2025-10-24,1236,A,64,6.1NRT,298.89,18.47,D
-18.72726,36.08769,319.88,1.13,1.06,2025-10-24,1236,A,64,6.1NRT,300.49,11.69,D
-18.73242,35.90567,318.58,1.15,1.07,2025-10-24,1236,A,68,6.1NRT,298.31,13.38,D
-18.73383,35.89502,317.3,1.15,1.07,2025-10-24,1236,A,66,6.1NRT,299.18,11.7,D
-18.66399,36.08221,317.86,1.13,1.06,2025-10-24,1236,A,67,6.1NRT,298.1,11.98,D
-18.59577,36.3756,322.39,1.09,1.04,2025-10-24,1236,A,65,6.1NRT,299.41,14.36,D
-18.59714,36.36548,322.34,1.1,1.04,2025-10-24,1236,A,56,6.1NRT,301.52,14.21,D
-18.56147,36.09309,320.47,1.12,1.06,2025-10-24,1236,A,68,6.1NRT,301.08,12.45,D
-18.55408,36.00687,320.3,1.13,1.06,2025-10-24,1236,A,66,6.1NRT,299.18,12.42,D
-18.54193,36.0264,319.05,1.13,1.06,2025-10-24,1236,A,48,6.1NRT,299.13,10.91,D
-18.46791,36.3749,324.73,1.09,1.04,2025-10-24,1236,A,55,6.1NRT,304.75,15.43,D
-18.80146,33.87366,322.82,1.53,1.22,2025-10-24,1236,A,66,6.1NRT,306.1,11.94,D
-18.47833,36.23156,320.57,1.11,1.05,2025-10-24,1236,A,20,6.1NRT,302.56,8.93,D
-18.46909,36.23016,320.85,1.11,1.05,2025-10-24,1236,A,40,6.1NRT,303.11,9.2,D
-17.18022,44.21463,320.65,2.09,1.41,2025-10-24,1236,A,14,6.1NRT,299.9,21.79,D
-18.73896,33.93698,324.07,1.51,1.21,2025-10-24,1236,A,62,6.1NRT,306.74,10.47,D
-17.16796,44.21217,321.06,2.09,1.41,2025-10-24,1236,A,25,6.1NRT,298.96,24.99,D
-18.36732,36.56335,319.66,1.07,1.03,2025-10-24,1236,A,60,6.1NRT,301.45,8.52,D
-18.36867,36.55345,325.22,1.07,1.03,2025-10-24,1236,A,76,6.1NRT,302.45,14.13,D
-18.37409,36.51377,321.44,1.08,1.04,2025-10-24,1236,A,67,6.1NRT,303.68,6.85,D
-18.36362,36.52231,321.83,1.08,1.04,2025-10-24,1236,A,61,6.1NRT,305.01,7.27,D
-18.43425,35.95537,321.93,1.14,1.06,2025-10-24,1236,A,68,6.1NRT,303.52,12.41,D
-18.327,36.66213,318.51,1.06,1.03,2025-10-24,1236,A,62,6.1NRT,302.57,9.47,D
-18.68201,33.8379,365.16,1.53,1.22,2025-10-24,1236,A,100,6.1NRT,307.8,162.92,D
-18.68376,33.82388,382.76,1.54,1.22,2025-10-24,1236,A,100,6.1NRT,309.01,285.03,D
-18.67124,33.83651,326.84,1.53,1.22,2025-10-24,1236,A,75,6.1NRT,305.85,21.46,D
-18.67299,33.82243,331.94,1.54,1.22,2025-10-24,1236,A,82,6.1NRT,304.57,34.89,D
-18.67653,33.7939,316.0,1.54,1.22,2025-10-24,1236,A,26,6.1NRT,295.16,6.05,D
-18.30708,36.53839,319.79,1.07,1.03,2025-10-24,1236,A,65,6.1NRT,303.81,8.07,D
-18.34,36.29836,320.14,1.1,1.04,2025-10-24,1236,A,64,6.1NRT,301.89,8.98,D
-18.34139,36.28824,317.87,1.1,1.04,2025-10-24,1236,A,57,6.1NRT,302.49,6.52,D
